KW	JA	TC	id	name	names	is bad	type	valid members count	valid members ratio	nonavailable members count	nonavailable members ratio	collection name probability	@
		1	Q9649327	Polish centenarians	marianfuks, ninaandrycz, janekier, abecoleman, maxwebb, wolfleslau, wandapoltawska, witoldsadowy, stanislawmaczek, benzionnetanyahu	0,012	human	63	1	0	0	-28,05	
		1	Q7072375	Television stations in Switzerland	rtl, prosieben, ntv, sat1, 3sat, superrtl, super, vox, rtlzwei, dmax	0,006	television station	50	0,77	23	0,48	-28,15	
		1	Q6632235	People from Alappuzha	mammootty, fahadfazil, fazil, navyanair, vinayan, akantony, kmadhu, padmarajan, ashokan, priyadarshan	0,008	human	71	0,76	5	0,07	-28,15	
		1	Q15298750	Films about mining	zoolander, kgfchapter1, akhanda, pride, gold, palerider, the33, ayan, outland, prospect	0,012	film	111	1	40	0,37	-28,18	
		1	Q18111498	Venkatesh filmography	aladdin, krack, drushyam2, premam, venkymama, anari, nagavalli, narappa, eenadu, drushyam	0,008	film	87	0,47	16	0,19	-28,21	
		1	Q6624030	Inflatable manufactured goods	zeppelin, tire, tires, balloon, basketball, waterbed, toyballoon, airdancer, swimring, airmattress	0,012	inflatable	28	0,27	8	0,31	-28,24	
		1	Q6592144	New Zealand television series	taskmaster, thetribe, 800words, thegulf, darktourist, theblocknz, westside, brotown, whatnow, thexfactor	0,006	television program	107	0,63	40	0,38	-28,28	
		1	Q8701993	Operatic sopranos	daryadadvar, ledung, hibakawas, dinaraalieva, adrianacaselotti, jeaninedebique, mayagulyyewa, fidangasimova, yukiip, veronikadzhioeva	0,01	human	29	0,85	1	0,03	-28,38	
		1	Q9088621	Prussian nobility	lilybraun, daviddepury, ottovongierke, wilhelmvonhumboldt, ernstvonpfuel, remusvonwoyrsch, johnomeusebach, ernstvonsiemens, eduardvonsimson, moritzvonbissing	0,012	human	75	0,68	0	0	-28,38	
		1	Q6570235	Epicurean philosophers	epicurus, lucretius, philodemus, leontion, hermarchus, zenoofsidon, colotes, amafinius, catius, carneiscus	0,008	human	54	0,82	3	0,09	-28,43	
		1	Q3408480	Brazilian telenovelas	oclone, oreidogado, telenovela, afavorita, almagemea, poramor, carrossel, america, telenovelas, esmeralda	0,008	television series	120	0,6	16	0,14	-28,43	
		0	Q3087586	Companies of Hong Kong	banking, hsbc, amd, dbsbank, tvb, qnet, pomato, hkexpress, pccw, hnagroup	0,002	business	104	0,26	53	0,52	-28,49	
		1	Q98959087	Simran filmography	mahaan, petta, captain, andhagan, pithamagan, vaalee, new, youth, jodi, seemaraja	0,01	film	89	0,66	20	0,22	-28,53	
		1	Q93047	Municipalities in Alicante	alicante, benidorm, elcheelx, torrevieja, denia, calp, altea, villena, xabia, orihuela	0	municipality of Spain	140	0,66	16	0,11	-28,57	
		1	Q6378035	People from Gaziantep	hazalkaya, ebrugundes, ahmetumit, fatmasahin, sahinbey, kenandogulu, sinantuzcu, alikaya, doguperincek, savasay	0,004	human	72	0,86	5	0,09	-28,81	
		1	Q8645583	Mughal nobility	birbal, tansen, todarmal, zebunnissa, wazirkhan, mahamanga, nawabbai, safdarjang, faizi, shaistakhan	0,01	human	118	0,92	4	0,04	-28,85	
		1	Q25192997	People from Dumaguete	ricoblanco, angelaquino, dennistrillo, edithtiempo, eddieromero, carmimartin, leonkilat, papaisio, angelcalcala, leonorbriones	0,008	human	73	0,79	2	0,03	-28,92	
		1	Q8468791	Forts in France	fortboyard, fortdejoux, bastille, fortcarre, fortmahon, petitbe, fortenet, fortdesalses, fortrapp, fortlecluse	0,008	architectural structure	42	0,95	3	0,07	-28,97	
		1	Q7455040	West German films	possession, paristexas, 1900, thetindrum, cruising, storyofo, thedamned, bagdadcafe, ludwig, christianef	0,004	film	1934	0,99	285	0,15	-28,99	
		1	Q9237001	People of Manchukuo	puyi, nobusukekishi, yuyan, runqi, kanjiishiwara, zhaoyiman, yuzhan, lishouxin, tommeschery, levokhotin	0,012	human	50	0,98	5	0,1	-29	
		1	Q6623780	Hotels in the United States	cecilhotel, plazahotel, bellagio, themirage, thestrat, aladdin, sandshotel, marinahotel, desertinn, parkmgm	0,006	hotel, architectural structure	1183	0,81	131	0,11	-29,03	
		1	Q24073505	People from Barisal	salkhan, utpaldutt, akfazlulhuq, sufiakamal, mehidyhasan, omarsani, taniaahmed, kaminiroy, abalabose, sohelrana	0,006	human	186	0,82	4	0,03	-29,05	
		2	Q1851442	Sega CD games	soniccd, snatcher, nighttrap, dune, finalfight, flashback, themepark, nbajam, syndicate, spaceace	0,006	video game	297	0,45	50	0,31	-29,06	
		1	Q6597391	Soukous musicians	fallyipupa, papawemba, ferregola, mbiliabel, werrason, tshalamuana, pepekalle, meiway, koffiolomide, mpongolove	0,004	human	90	0,88	3	0,04	-29,11	
		1	Q7115501	People from Palembang	joetaslim, nauraayu, felixsiauw, hattarajasa, shandyaulia, titokarnavian, harnojoyo, alexnoerdin, mohammadahsan, tantowiyahya	0,012	human	60	1	2	0,03	-29,11	
		1	Q7039278	American women in politics	karinejeanpierre, joraeperkins, dejafoxx, pamelaharriman, joanneherring, ellenlord, phyllisschlafly, briahnajoygray, taramcgowan, juliefancelli	0,008	human	46	0,84	0	0	-29,2	
		1	Q24905267	Gulzar filmography	darlings, drishyam, dilse, guru, raazi, kuttey, haider, satya, saathiya, raajneeti	0,008	film	140	0,71	57	0,41	-29,26	
		3	Q8451990	Films about automobiles	fastx, cars, drivemycar, furious7, drive, bumblebee, babydriver, madmax, deathproof, fastfive	0,01	film	251	0,73	99	0,49	-29,38	
		1	Q6601155	UK garage artists	ksi, craigdavid, jamiexx, burial, ajtracey, wiley, naughtyboy, danebowers, msdynamite, mikeskinner	0,004	human	128	0,58	31	0,39	-29,39	
		1	Q6639373	Shopping malls in California	shoppingmalls, santanarow, metreon, breamall, ardenfair, eastridge, theoaks, bellaterra, carouselmall, ontariomills	0,01	shopping center	198	0,39	23	0,12	-29,41	
		1	Q1864014	People from Chernivtsi	milakunis, paulcelan, sofiarotaru, hermannhesse, wilhelmreich, mihaieminescu, ninonhesse, danpagis, hermannbahr, aronpumnul	0,006	human	83	0,69	4	0,05	-29,5	
		1	Q7131570	Battles of the Middle Ages	battleofvarna, battleofvisby, battleofbaia, battleofane, battleofvaslui, battleoflena, battleoflargs, battleoftheneva, battleofshelon, battleofgarni	0,008	battle	140	0,9	0	0	-29,53	
		4	Q6312512	American comedy films	knivesout, homealone, shrek, encanto, minions, sing2, frozen, hocuspocus, freeguy, coco	0,01	film	5078	0,95	1516	0,32	-29,56	
		4	Q8452327	Films based on songs	mammamia, convoy, getonup, rhinestone, lilimarleen, lastchristmas, lovemetender, jailhouserock, copacabana, avlarco	0,012	film	82	0,94	23	0,29	-29,61	
		2	Q6599381	Texas state prisons	ramseyunit, ellisunit, crainunit, wynneunit, goreeunit, easthamunit, byrdunit, huntsvilleunit, estelleunit, coffieldunit	0,01	prison	96	0,55	0	0	-29,62	
		1	Q5101848	Chiranjeevi filmography	godfather, acharya, magadheera, indra, sonofindia, ghazi, stalin, anji, tagore, varudu	0,006666666667	film	162	0,71	29	0,18	-29,67	
		1	Q7586357	Sridevi filmography	zero, mom, mrindia, judaai, puli, laadla, chandni, karma, khudagawah, lamhe	0,008	film	196	0,79	22	0,11	-29,71	
		1	Q6562899	Music festivals in Australia	rave, squatparty, grime, bigdayout, powwow, moomba, soundwave, concerttour, teknival, musicfestival	0,008	event	113	0,45	32	0,29	-29,75	
		1	Q18153674	Restaurants in New York City	delmonicos, 21club, steakhouse, perse, joespizza, raos, lentrecote, papayaking, balthazar, sardis	0,01	restaurant	138	0,35	55	0,4	-29,76	
		1	Q6606171	Artificial pet games	tamagotchi, adoptme, neopets, pou, seaman, nintendogs, mindcandy, zootycoon2, jadecocoon, dogslife	0,006	video game	48	0,56	20	0,42	-29,79	
		1	Q8371325	Defunct television channels	channelv, boomerang, locomotion, magickids, fox, foxmovies, redbyhbo, retro, spacepowertv, diva	0,006	television channel	33	0,62	12	0,38	-29,85	
		1	Q9136547	Mishnah rabbis	gamaliel, shammai, rabbimeir, gamalielii, judahhanasi, onkelos, honihameagel, shmaya, abtalion, rabbitarfon	0,008	human	113	0,93	4	0,04	-29,95	
		1	Q2475241	Municipalities of Hidalgo	tulancingo, tepeji, tizayuca, huichapan, apan, pachuca, ixmiquilpan, tecozautla, metztitlan, zimapan	0,012	municipality of Mexico	179	0,76	3	0,03	-30,02	
		1	Q7165495	Columbia Records albums	thewall, motomami, xxv, animals, renaissance, lemonade, fineline, illmatic, kindofblue, blackstar	0,008	album	2806	0,99	919	0,33	-30,04	
		1	Q7008671	Dutch musical groups	tensharp, rowwenheze, teeset, vandikhout, makoma, foxthefox, triolescano, themotions, theshoes, trafassi	0,006	musical group	59	0,86	8	0,14	-30,08	
		1	Q10174131	People from Sanandaj	azad, voriaghafouri, hootanshakiba, shahramirani, nasserrazazi, majidhabibi, zobeirniknafs, nasserfahimi, abbaskamandi, minoosharifi	0,012	human	46	1	2	0,04	-30,08	
		1	Q6567532	Colombian telenovelas	metastasis, telenovela, elcartel, vecinos, nurses, elclon, bolivar, latormenta, elcapo, thegirl	0,012	telenovela, television series	192	0,73	21	0,12	-30,1	
		1	Q7027527	Estonian sportspeople	otttanak, kaiakanepi, martpoom, erkinool, gerdkanter, juritarmak, andresoper, tiitsokk, ragnarklavan, heikinabi	0,006	human	143	0,95	2	0,01	-30,17	
		1	Q17051438	Shopping malls in Singapore	vivocity, sunteccity, ionorchard, luckyplaza, imm, jcube, jem, liangcourt, compassone, liattowers	0,002	shopping center	82	0,55	12	0,15	-30,22	
		1	Q8623743	Mexican musical groups	bronco, losbukis, bandams, calibre50, eltri, losacosta, kumbiakings, losyonics, allison, yndio	0,006	musical group	81	0,85	15	0,19	-30,29	
		1	Q105700	Municipalities in Valladolid	valladolid, tordesillas, uruena, simancas, cigales, alaejos, iscar, traspinedo, olmedospain, mojados	0,012	municipality of Spain	225	0,76	8	0,04	-30,29	
		1	Q6563053	Avalon Hill games	risk, stratego, diplomacy, newworld, runequest, roborally, acquire, dune, squadleader, tactics	0,012	video game, board wargame, tabletop role-playing game, board game	178	0,48	68	0,39	-30,31	
		1	Q6629537	Multiplayer Game Boy games	pacman, asteroids, drmario, puyopuyo, tetris, tecmobowl, yoshi, qix, trackfield, spyvsspy	0,004	video game	117	0,66	37	0,32	-30,33	
		3	Q6841210	American documentary films	flee, grizzlyman, fireoflove, navalny, insidejob, theredpill, val, baraka, supersizeme, 13th	0,004	film	3347	0,98	663	0,2	-30,35	
		1	Q16251350	Manivannan filmography	sivaji, padayappa, mudhalvan, velayudham, nerukkuner, kuruvi, youth, vaseegara, rhythm, aathi	0,01	film	221	0,94	28	0,13	-30,45	
		1	Q2129950	Municipalities of Puebla	zacatlan, tepeaca, xicotepec, puebla, honey, pahuatlan, libres, acatzingo, calpan, oriental	0,012	municipality of Mexico	212	0,73	6	0,03	-30,53	
		1	Q6573994	Indian film critics	shajichen, taranadarsh, komalnahta, anupamachopra, khariharan, dilipchitre, randorguy, rajeevmasand, shubhragupta, bkkaranjia	0,004	human	118	0,67	1	0,01	-30,62	
		1	Q6572450	Greek musical artists	vangelis, annavissi, demisroussos, ketigarbi, marinella, tamta, peggyzina, glykeria, sirusho, kalomira	0,012	human	81	0,41	15	0,19	-30,62	
		1	Q6598579	Summit Entertainment films	johnwick, moonfall, prisoners, twilight, divergent, run, lalaland, memento, vanillasky, midway	0,012	film	281	0,66	88	0,54	-30,66	
		3	Q7139601	Theorems in geometry	soddyshexlet, 2πtheorem, triangleinequality, devissage, jungstheorem, deguastheorem, nivenstheorem, theoremaegregium, collagetheorem, principalaxistheorem	0,012	theorem	42	0,89	0	0	-30,67	
		1	Q41498010	Ships at Dunkirk	tugboat, gunboat, minesweeper, torpedoboat, troopship, hospitalship, hmsjavelin, cargoliner, paddlesteamer, hmsexpress	0,01	ship	113	0,64	4	0,04	-30,71	
		4	Q65246948	Meta Quest games	vrchat, beatsaber, superhotvr, superhot, recroom, accounting, rez, bonelab, boneworks, fruitninja	0,006	video game	91	0,57	31	0,5	-30,76	
		4	Q7164558	Television series by Disney	dinosaurs, violetta, soyluna, zorro, spiderman, stitch, once, handymanny, carstoons, yinyangyo	0,01	television series	153	0,87	43	0,28	-30,79	
		1	Q8310456	Brazilian musical groups	utopia, olodum, eotchan, planethemp, bandaeva, nxzero, racanegra, carrapicho, falamansa, timbalada	0,002	musical group	54	0,86	9	0,17	-30,8	
		1	Q7214815	Deaths from oral cancer	drseuss, burlives, jackwild, leatherman, johnchard, brunocremer, brucepaltrow, rrpatil, lincarter, susanbuffett	0,004	human	60	0,98	4	0,07	-30,87	
		3	Q3244060	American football video games	actiongame, mobilegame, retrobowl, tecmobowl, espnnfl2k5, maddennfl25, maddennfl08, maddennfl12, cyberball, maddennfl07	0,002	video game	129	0,33	14	0,11	-30,88	
		3	Q849749	British literary awards	bookerprize, golddagger, orwellprize, bsfaawards, kitschies, tseliotprize, costabookawards, jhalakprize, ondaatjeprize, newdigateprize	0,006	award	73	0,82	1	0,01	-30,95	
		4	Q6619979	Films based on manga	oldboy, akira, porcorosso, deathnote, blackjack, speedracer, crowszero, initiald, astroboy, gantz	0,01	film	443	0,56	62	0,14	-30,96	
		4	Q6619982	Films based on poems	troy, braveheart, mulan, fantasia, padmaavat, beowulf, excalibur, paterson, elcid, shortcuts	0,006	film	203	0,76	41	0,26	-30,97	
		1	Q1779849	Mayors of Lima	jorgemunoz, luiscastaneda, manuelcandamo, ricardobelmont, susanavillaran, rafaellopezaliaga, marcoparra, lizardomontero, albertoandrade, luisbedoyareyes	0,008	human	98	0,57	0	0	-31,03	
		1	Q7146013	Israeli film directors	tomersisley, urizohar, nadavlapid, orenpeli, assidayan, arifolman, resheflevi, urigavriel, amosgitai, zeevrevach	0,008	human	156	0,99	2	0,01	-31,16	
		1	Q8679533	Nigerian human rights activists	felakuti, lamboginny, delegiwa, aminukano, femifalana, aishayesufu, kikimordi, sonnyokosun, afebabalola, leoigwe	0,002	human	75	0,74	3	0,04	-31,25	
		1	Q7178497	Berber Moroccans	abdelkrim, sofyanamrabat, lallalatifa, andreazoulay, ahmedrami, malikaoufkir, ibnadjurrum, azizakhannouch, mohamedoufkir, lallabahia	0,008	human	48	1	3	0,06	-31,26	
		4	Q6621359	Free massively multiplayer online games	roguelike, mmorpg, secondlife, mmog, agario, runescape, actiongame, maplestory, soulslike, slitherio	0,012	video game	175	0,57	66	0,38	-31,26	
		1	Q3715904	Duke of Spoleto	desiderius, aistulf, ratchis, welfvi, suppoi, welfvii, matildaoftuscany, guyiiiofspoleto, beatriceofbar, guyiofspoleto	0,006	human	76	0,7	1	0,02	-31,34	
		1	Q6642573	Television channels in Mauritius	zdf, euronews, france24, foxnews, arydigital, msnbc, skynews, starplus, cbeebies, aajtak	0,004	television channel	92	0,42	52	0,58	-31,36	
		1	Q8400921	Companies based in Ohio	cedarfair, airstream, swagelok, abxair, joannstores, raxroastbeef, revco, bonnebell, eaglebrand, exel	0,006	business	132	0,9	23	0,17	-31,41	
		1	Q15274634	Mexican women journalists	adelamicha, paolarojas, inessainz, patichapoy, lillytellez, evanorvind, lydiacacho, laurag, lolitaayala, verorodriguez	0,006	human	78	0,99	6	0,08	-31,43	
		0	Q4383784	Mega Man video games	mobilegame, megamanx, megaman11, megaman, megaman2, megamanx4, megaman8, megaman9, megamanzx, platformgame	0,002	video game	105	0,51	11	0,11	-31,45	
		4	Q6839791	Films set in London	thegrayman, sitaramam, eternals, tenet, radheshyam, spectre, skyfall, furious7, braveheart, legend	0,004	film	2626	1	720	0,29	-31,54	
		0	Q105712	Municipalities in Biscay	bilbao, guernica, barakaldo, getxo, bermeo, basauri, ondarroa, lekeitio, ermua, santurtzi	0,002	municipality of Spain	109	0,6	23	0,21	-31,56	
		1	Q268974	Hungarian film directors	belatarr, nimrodantal, adolphzukor, petermedak, miklosrozsa, istvanszabo, sashagabor, gyulamaar, karolymakk, peterbacso	0,01	human	206	0,73	0	0	-31,57	
		1	Q3244059	Association football video games	fifa23, fifa22, efootball, actiongame, fifa19, fifa21, fifa20, fifa14, fifa18, fifa17	0,012	video game	607	0,6	55	0,14	-31,61	
		1	Q3884090	Paintings by Tintoretto	lastsupper, ilparadiso, adamandeve, crucifixion, danae, themuses, visitation, cainandabel, selfportrait, ledaandtheswan	0,004	painting	70	0,37	8	0,22	-31,84	
		1	Q1189051	Neo Geo games	neogeo, neogeocd, iqueplayer, metalslug, metalslug2, metalslug3, fatalfury2, neogeox, athena, wakuwaku7	0,01	game	160	0,39	24	0,15	-31,9	
		1	Q847944	Mayors of Bucharest	nicuordan, carosetti, traianbasescu, iondinca, sorinoprescu, georgemanu, gabrielafirea, robertnegoia, victorciorbea, liviunegoia	0,008	human	63	0,4	1	0,02	-31,95	
		1	Q6376423	Golden Bear winners	rainman, 12angrymen, magnolia, cinderella, intimacy, elitesquad, spiritedaway, alphaville, headon, alcarras	0,01	film	85	0,97	28	0,33	-31,97	
		1	Q7589291	RCA Records albums	sos, blackstar, breezy, planether, hunkydory, low, davidbowie, isthisit, ctrl, onebyone	0,01	album	1581	0,99	515	0,33	-31,99	
		3	Q6567207	Christian punk bands	switchfoot, relientk, mxpx, anberlin, emery, hawknelson, eisley, iconforhire, fmstatic, superchick	0,008	musical ensemble, musical group	103	0,46	34	0,33	-32,02	
		1	Q6995815	Israeli football managers	avramgrant, eliohana, alonhazan, barakbakhar, reuvenatar, guyluzon, avicohen, arikbenado, ofirhaim, nirklinger	0,01	human	169	1	5	0,03	-32,02	
		4	Q6849735	Video games based on films	madmax, worldwarz, spiderman3, sweethome, spiderman2, thething, blairwitch, cars, spiderman, 007legends	0,005333333333	video game	905	0,46	217	0,39	-32,15	
		1	Q25220832	Singers from Karnataka	ananyabhat, jayanthi, bhimsenjoshi, nanditha, vijayprakash, mdpallavi, cashwath, mvrajamma, sballesh, kslswamy	0,006	human	59	0,98	3	0,05	-32,21	
		1	Q6835280	Films set in France	amsterdam, dunkirk, 1917, godfather, atonement, hugo, robinhood, allied, cinderella, athena	0,008	film	814	0,99	216	0,28	-32,28	
		2	Q6644658	Video games based on comics	spiderman, avengers, injustice2, spiderman3, spiderman2, deadpool, turok, xiii, shadowman, superman	0,012	video game	396	0,76	67	0,21	-32,32	
		3	Q8259767	Archaeological sites in Sicily	selinunte, segesta, motya, himera, naxos, morgantina, templee, soluntum, cavedicusa, netum	0,012	archaeological site	55	0,66	6	0,11	-32,36	
		1	Q8550014	Intelligence Corps officers	johnlecarre, enochpowell, jlaustin, johnbuchan, tomtugendhat, anthonyblunt, chaimherzog, mikejackson, gilbertryle, julianhuxley	0,008	human	159	0,99	7	0,04	-32,37	
		4	Q6836405	Science fiction action films	avatar, thematrix, starwars, spiderman, rogueone, prometheus, predator, antman, ironman, deadpool	0,004	film	656	0,68	268	0,42	-32,39	
		1	Q115215358	Rulers of Wallachia	johnhunyadi, basarabi, omarpasha, vladtheimpaler, radunegru, mirceaii, vladiidracul, radui, radumihnea, raducelfrumos	0,01	human	131	0,66	2	0,02	-32,39	
		0	Q2985673	Atari Jaguar games	doom, rayman, flashback, themepark, worms, nbajam, syndicate, raiden, zoop, wolfenstein3d	0,008	video game	119	0,3	28	0,4	-32,54	
		1	Q9226532	People from Port Elizabeth	siyakolisi, amifaku, wayneparnell, atholfugard, johanbotha, atandwakani, roelfmeyer, shaunpollock, reevasteenkamp, adriennecamp	0,004	human	132	0,94	6	0,05	-32,65	
		1	Q8451995	Films about blind people	thelobster, ray, dontbreathe, citylights, tommy, theeye, theclassic, juliaseyes, peepingtom, thekiller	0,006	film	177	1	49	0,3	-32,66	
		0	Q1142481	Kingship of Tara	flannsinna, cathairmor, ugainemor, tforahilly, ailillmolt, nuadunecht, artmaccuinn, maccon, cormacmacairt, niallglundub	0	human	62	0,55	0	0	-32,68	
		1	Q3523224	Political parties in Sri Lanka	thirdparty, majorparty, sivasenai, federalparty, unitednationalparty, srilankafreedomparty, peoplesalliance, nationalcongress, lankasamasamajaparty, nationalpeoplespower	0,01	political party	148	0,39	5	0,06	-32,68	
		1	Q6598197	St Ives artists	anderszorn, emilycarr, naumgabo, bennicholson, bernardleach, terryfrost, alfredwallis, svenberlin, sandrablow, peterlanyon	0,004	human	66	0,87	5	0,08	-32,69	
		4	Q6429929	Films set in Thailand	themeg, thebeach, rambo, ramboiii, emmanuelle, themedium, darbar, kickboxer, stealth, soulsurfer	0,012	film	129	0,98	40	0,32	-32,79	
		2	Q2157843	Sierra Entertainment video games	halflife, halflife2, prototype, frogger, browsergame, homeworld, swat4, pitfall, pharaoh, caesariii	0,004	video game	278	0,54	43	0,15	-32,86	
		1	Q1862695	Print media in New Zealand	tabloid, thepress, freenewspapers, sundaynews, thestar, waikatotimes, hamiltonnews, thedailypost, aucklandstar, hawkesbaytoday	0,008	newspaper	66	0,37	7	0,11	-32,94	
		3	Q7141249	Films set in England	men, atonement, theking, lucy, thebubble, emma, cloudatlas, stardust, paddington, loverosie	0,01	film	1400	0,99	324	0,24	-32,95	
		3	Q6644657	Video games based on cartoons	epicmickey, southpark, ducktales, popeye, futurama, abugslife, barnyard, quackshot, gooftroop, thesimpsons	0,004	video game	339	0,55	46	0,14	-33,01	
		1	Q6596854	Shaw Brothers films	themadmonk, lifeline, deathduel, 14amazons, bloodmoney, hero, 7manarmy, vengeance, dirtyho, paintedfaces	0,01	film	207	0,25	30	0,15	-33,05	
		1	Q6620050	Films set in Ireland	braveheart, thewonder, shesaid, thelobster, loverosie, kingarthur, ekthatiger, brooklyn, psiloveyou, shortfilm	0,008533333333	film	746	0,67	174	0,33	-33,06	
		1	Q6645786	William Gibson bibliography	imdb, thexfiles, cyberpunk, disneyland, isbn, steampunk, barcode, alien3, time, tattoo	0,01	work	103	0,7	54	0,56	-33,09	
		2	Q14820434	Athens Metro stations	piraeusstation, koropistation, pallinistation, nikaiametrostation, syngroufixstation, omoniametrostation, attikimetrostation, dafnimetrostation, petralonastation, egaleometrostation	0,01	Athens Metro station	66	0,46	0	0	-33,12	
		2	Q6561865	Arabic pop musicians	dalida, ummkulthum, fairouz, haifawehbe, nancyajram, amrdiab, sherine, chebkhaled, khaled, elissa	0,012	human	128	0,91	41	0,32	-33,15	
		1	Q21068137	Sony Pictures Television programs	theboys, thecrown, doctorwho, outlander, cobrakai, thelastofus, seinfeld, slowhorses, breakingbad, community	0,009516666667	television program	1044	0,58	403	0,4	-33,16	
		2	Q6644593	Venues in the United Kingdom	anfield, alberthall, theo2arena, oldtrafford, villapark, celticpark, ellandroad, publichouse, hampdenpark, ovohydro	0,006	architectural structure	155	0,56	44	0,29	-33,17	
		1	Q9466155	Russian classical composers	leraauerbach, vladimirhorowitz, elenagnesina, vaclavsuk, ninamakarova, nikolaikapustin, sandorkallos, allapavlova, pavelchesnokov, elenafirsova	0,01	human	69	0,97	0	0	-33,18	
		1	Q56291771	Peter Jason filmography	theylive, hailcaesar, milk, adaptation, dantespeak, 48hrs, redheat, seabiscuit, undisputed, congo	0,006	film	93	0,48	36	0,39	-33,26	
		2	Q8457736	Films set in Malaysia	venom, blackhat, entrapment, don, don2, kabali, fairgame, billa, irumugan, supercop	0,01	film	79	0,99	23	0,29	-33,34	
		2	Q6620083	Films set in Tampa	goodfellas, magicmike, cocoon, parker, aquamarine, fearofrain, thepunisher, livebynight, dolphintale, chinamoon	0,008	film	25	0,68	10	0,4	-33,39	
		5	Q18924370	Will Ferrell filmography	themenu, barbie, zoolander, spirited, hustlers, vice, elf, megamind, booksmart, zoolander2	0,008	film	86	0,48	41	0,48	-33,43	
		1	Q8399688	Companies based in Bangalore	flipkart, wipro, myntra, swiggy, phonepe, canarabank, olacabs, cred, tanishq, starair	0,006	business	91	0,71	37	0,41	-33,48	
		1	Q6642817	Temples in Bhubaneswar	lingaraj, hindutemple, hindutemples, kalijai, konarksuntemple, lingarajtemple, dhabaleswar, vimalatemple, birajatemple, chhatiabata	0,008	temple	151	0,61	1	0,01	-33,58	
		1	Q17056077	Indian folk dances	butakola, kathakali, kathak, kuchipudi, theyyam, odissi, yakshagana, yakshgana, garba, bhangra	0,012	Indian folk dance, type of dance	109	0,37	11	0,1	-33,76	
		1	Q17087610	Brian Cox performances	troy, braveheart, her, zodiac, thering, red, manhunter, matchpoint, pixels, adaptation	0,008	film	102	0,41	53	0,54	-33,8	
		1	Q20667606	Malaysian comedy films	doremi, letseat, nasilemak10, nasilemak20, buli, estet, cuci, homecoming, kingofmahjong, bikerskental2	0,012	film	25	0,93	5	0,2	-33,9	
		3	Q1761803	Earth observation satellites	sentinel2, landsat8, spot, sentinel1, himawari, himawari8, landsat7, elektrol, meteosat, envisat	0,004	Earth observation satellite	166	0,31	28	0,18	-33,91	
		2	Q914937	Copenhagen Metro stations	metrostation, forumstation, norreportstation, orestadstation, drbyenstation, osterportstation, vanlosestation, norrebrostation, oresundstation, kastrupstation	0,006	railway station	79	0,75	1	0,02	-33,94	
		1	Q6603086	University of Exeter people	jkrowling, sajidjavid, thomyorke, nickclegg, robertowen, bencollins, alumni, zaraphillips, willyoung, vanessakirby	0,006	human	259	0,7	29	0,11	-33,94	
		1	Q8432129	Expressways in Tehran	limitedaccessroad, sadrexpressway, fathexpressway, hemmatexpressway, hakimexpressway, babayiexpressway, imamaliexpressway, bakeriexpressway, saidiexpressway, basijexpressway	0,01	road, limited-access road	68	0,52	0	0	-33,94	
		0	Q11337516	Peruvian Navy ships	warship, huascar, bapunion, bappisco, bapmontero, bappacocha, ussoneota, hmsceylon, hmsdiana, bapaguirre	0,002	ship	98	0,63	2	0,02	-34,04	
		2	Q15129175	Vietnamese film actresses	thuytrang, lynhaky, hariwon, ngothanhvan, thmthuyhng, hngcha, hoaminzy, bebepham, miule, chipu	0,012	human	30	1	7	0,23	-34,11	
		2	Q7162670	Football clubs in Japan	visselkobe, tokyoverdy, yokohamafc, sagantosu, fctokyo, nankatsusc, iwakifc, jubiloiwata, fcryukyu, fcgifu	0,01	association football club	135	0,95	12	0,09	-34,14	
		1	Q8293661	Battles of the Reconquista	battleofteba, battleofucles, battleofgraus, battleofalarcos, battleofourique, battleofsagrajas, battleofecija, battleofclavijo, battleoffraga, battleofcovadonga	0,01	battle	72	0,68	0	0	-34,16	
		3	Q7490217	Sharon Stone filmography	casino, catwoman, alphadog, antz, shortfilm, sliver, lovelace, totalrecall, sphere, bobby	0,006	film	71	0,51	27	0,38	-34,19	
		1	Q4436327	Mary Shelley bibliography	isbn, lyricpoem, wikisource, sic, goldenass, 1samuel, frankenstein, googlebooks, gothic, thelastman	0,01	work	62	0,38	24	0,39	-34,28	
		3	Q6835622	Films set in Monaco	thegrayman, ironman2, fastfive, goldeneye, rebecca, montecarlo, grandprix, greed, theredshoes, mobius	0,006	film, film	81	0,99	25	0,32	-34,29	
		1	Q9466123	Polish classical composers	wojciechkilar, henrykgorecki, wladyslawszpilman, paulkletzki, josephbeer, mariansawa, tadeuszbaird, wojciechzywny, zbigniewpreisner, grazynabacewicz	0,008	human	75	1	1	0,01	-34,36	
		1	Q6571491	Full Moon Features productions	trancers, evilbong, parasite, dollman, arcade, robotwars, castlefreak, susansplan, oblivion, puppetmaster	0,01	film	105	0,4	24	0,25	-34,4	
		1	Q8336270	Soccer clubs in California	fresnofc, project51o, fcgoldpride, montereybayfc, chicorooks, orangecountysc, sandiego1904fc, losangelesaztecs, fcdavis, losangelessol	0,01	association football club	70	0,89	8	0,12	-34,42	
		2	Q6835711	Films set in the Netherlands	hostel, munich, rush, blackbook, tulipfever, alatriste, beerfest, grandprix, speaknoevil, oceanstwelve	0,01	film	142	0,99	42	0,3	-34,48	
